Domain,IDF
services.tegrazone.com.,3.3843902633457743
tunnel14.weave01.iad01.production.nest.com.,3.3843902633457743
czfe162-front01-iad01.transport.home.nest.com.,3.3843902633457743
vera-us-oem-storage25.mios.com.,3.3843902633457743
vera-us-oem-event11.mios.com.,3.3843902633457743
liberty.sb.roku.com.,3.3843902633457743
liberty.sw.roku.com.,3.3843902633457743
api.roku.com.,3.3843902633457743
scribe.logs.roku.com.,3.3843902633457743
channels.roku.com.,3.3843902633457743
image.roku.com.,3.3843902633457743
customer-feedbacks.web.roku.com.,3.3843902633457743
lat-services.api.data.roku.com.,3.3843902633457743
time.android.com.,3.3843902633457743
softwareupdates.amazon.com.,2.7245795030534206
0.pool.ntp.org.,2.995732273553991
1.pool.ntp.org.,3.3843902633457743
2.pool.ntp.org.,3.3843902633457743
static.getPiper.com.,2.517696472610991
logs-01.loggly.com.,3.3843902633457743
3.pool.ntp.org.,3.3843902633457743
174.193.58.216.in-addr.arpa.,3.3843902633457743
accesspoints.googleapis.com.,3.3843902633457743
r2---sn-nv0uixgo-5uae.googlevideo.com.,3.3843902633457743
gateway-carry.icloud.com.,3.3843902633457743
142.0.217.172.in-addr.arpa.,3.3843902633457743
mas-sdk.amazon.com.,3.3843902633457743
lcdn-locator.apple.com.,3.3843902633457743
p54-fmfmobile.icloud.com.,3.3843902633457743
guc3-accesspoint-a-88rl.ap.spotify.com.,3.3843902633457743
prod.northstar.nvidiagrid.net.,3.3843902633457743
wu.ring.com.,3.3843902633457743
czfe109.front01.iad01.production.nest.com.,3.3843902633457743
weave-logsink.nest.com.,3.3843902633457743
aca-livecards-service.amazon.com.,3.3843902633457743
0.logitech.pool.ntp.org.,3.3843902633457743
files.dropcam.com.,3.3843902633457743
www.ecdinterface.philips.com.,3.3843902633457743
101.177.233.64.in-addr.arpa.,3.3843902633457743
cloudservices.roku.com.,3.3843902633457743
